fighter_id,record,SLpM:,Str. Acc.:,SApM:,Str. Def:,,TD Avg.:,TD Acc.:,TD Def.:,Sub. Avg.:,Height:,Weight:,Reach:,STANCE:,DOB:
aa6e591c2a2cdecd,5-1-0,3.79,31%,3.98,68%,,2.13,42%,100%,0.7,"5' 11""",185 lbs.,--,Orthodox,"Apr 27, 1984"
7279654c7674cd24,15-4-0 (1 NC),2.05,40%,2.90,55%,,0.64,20%,80%,0.0,"6' 0""",205 lbs.,"74""",Orthodox,"Dec 24, 1992"
f689bd7bbd14b392,0-0-0,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,--,--,--,,"Dec 20, 1980"
1c5879330d42255f,30-18-0,3.52,36%,2.85,62%,,0.33,20%,81%,0.0,"5' 8""",180 lbs.,--,Orthodox,"Dec 27, 1977"
989b85f6540c86b1,6-2-0,3.90,52%,6.28,44%,,0.00,0%,0%,0.0,"5' 9""",170 lbs.,"75""",Orthodox,"Jun 22, 1991"
2620f3eb21c79614,8-1-0,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,"6' 0""",225 lbs.,--,Southpaw,--
83b00f7597e5ac83,5-3-0,7.09,55%,4.06,34%,,0.91,66%,57%,0.0,"6' 5""",265 lbs.,"80""",Orthodox,"Jan 16, 1992"
a77633a989013265,8-2-0,3.17,41%,5.93,44%,,0.00,0%,0%,0.0,"6' 1""",185 lbs.,"76""",Orthodox,"Jan 13, 1988"
acff8cdcfc634cb5,6-2-0,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,--,256 lbs.,--,,"Sep 07, 1997"
79cb2a690b9ba5e8,4-4-0,3.65,40%,3.04,64%,,0.00,0%,100%,0.5,"5' 5""",125 lbs.,"65""",Southpaw,"Jul 29, 1992"
1338e2c7480bdf9e,24-6-0,4.03,48%,3.22,55%,,0.05,9%,76%,0.1,"6' 4""",185 lbs.,"80""",Switch,"Jul 22, 1989"
0e9869d712e81f8f,7-20-2,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,"6' 3""",225 lbs.,--,Orthodox,"Apr 26, 1965"
7a846fcbf182a7c8,5-1-0,1.66,83%,0.33,75%,,4.97,50%,50%,5.0,"5' 11""",170 lbs.,"76""",Switch,"May 03, 2000"
ebc5af72ad5a28cb,24-6-0,0.69,11%,4.56,42%,,0.00,0%,0%,0.0,"5' 8""",155 lbs.,--,Orthodox,"Jan 13, 1979"
a08ddd04eaffd81d,10-5-0,4.43,54%,3.62,52%,,0.55,66%,45%,0.8,"5' 6""",125 lbs.,"68""",Southpaw,"Apr 07, 1997"
26f4288e83188c61,12-3-0,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,--,135 lbs.,--,,"Feb 16, 1992"
44aa652b181bcf68,2-3-1,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,"5' 10""",170 lbs.,--,Orthodox,"Jan 20, 1969"
501821d7fb7b95c1,17-1-0,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,"6' 0""",185 lbs.,--,,"Feb 10, 1988"
6cadc0a0ba7dc015,26-19-0 (1 NC),0.00,0%,0.00,0%,,0.00,0%,0%,0.0,"5' 10""",185 lbs.,--,,"Jan 01, 1972"
8f382b3baa954d2a,20-8-0,4.93,50%,7.19,53%,,0.94,25%,50%,0.2,"5' 3""",115 lbs.,"63""",Orthodox,"May 08, 1982"
cf946e03ba2e7666,17-5-0,3.96,40%,4.81,52%,,0.16,16%,78%,0.0,"5' 7""",155 lbs.,"73""",Orthodox,"Sep 07, 1988"
c051c2e12d692b8a,12-4-0,2.54,38%,2.29,61%,,1.52,29%,45%,1.1,"5' 4""",125 lbs.,"62""",Orthodox,"Mar 13, 1996"
ae071698e1a3ccd4,14-8-0,2.54,37%,4.04,48%,,0.00,0%,60%,0.0,"5' 9""",170 lbs.,"72""",Switch,"Nov 25, 1991"
0978385b2bd9ef9b,7-2-0,0.73,33%,2.89,45%,,1.16,20%,33%,0.6,"5' 9""",135 lbs.,"74""",Southpaw,"Jan 15, 1996"
b2efa582adf73604,13-2-0,2.74,60%,2.19,59%,,0.00,0%,100%,0.0,"5' 9""",125 lbs.,"67""",Switch,"Apr 07, 2005"
ff584c17bccbae0b,17-3-0,2.47,75%,0.53,57%,,6.00,46%,100%,0.0,"5' 9""",145 lbs.,"72""",Southpaw,"Sep 08, 1998"
9e3dbb9c68ed5d1a,14-6-1 (1 NC),2.87,33%,6.33,59%,,0.00,0%,71%,0.0,"5' 9""",155 lbs.,--,Orthodox,"Dec 25, 1980"
49dea784f6cfed71,6-2-0,5.00,40%,11.25,25%,,0.00,0%,0%,0.0,"5' 8""",135 lbs.,"71""",Switch,"Jun 19, 1994"
2eada40ac8801559,18-10-0,0.59,45%,2.58,55%,,0.00,0%,8%,0.5,"5' 4""",135 lbs.,--,Southpaw,"Jul 27, 1974"
16690d100f995f8f,21-6-1,2.97,34%,2.84,55%,,2.58,45%,65%,0.2,"6' 0""",185 lbs.,"73""",Orthodox,"Oct 12, 1987"
b0550072e5f0afa7,14-6-0 (2 NC),3.10,41%,3.62,57%,,2.29,67%,92%,1.0,"5' 10""",170 lbs.,"75""",Orthodox,"Jul 29, 1975"
1fc64507a0cb38cf,6-2-0,1.80,25%,3.97,57%,,1.00,40%,87%,0.0,"5' 10""",170 lbs.,"72""",Switch,"Dec 19, 1991"
38b50fd1e1b5b656,13-5-0,3.27,39%,3.14,60%,,0.65,14%,57%,0.0,"6' 2""",205 lbs.,--,Orthodox,"May 14, 1982"
597499ac7a5aac62,16-4-0,4.61,41%,3.43,60%,,1.47,23%,54%,0.0,"5' 8""",155 lbs.,"69""",Orthodox,"Apr 10, 1995"
1cf1310684a841f5,6-6-0,1.36,19%,3.61,53%,,0.00,0%,0%,0.0,"6' 2""",245 lbs.,"77""",Orthodox,"Jul 14, 1973"
7578cc6bd750206b,5-1-0,3.84,65%,6.66,23%,,2.06,50%,42%,0.0,"6' 2""",205 lbs.,"75""",Orthodox,"Jun 07, 1991"
2144954270be834d,0-4-0,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,"5' 6""",135 lbs.,--,,--
1897b7b913736a7c,17-10-2,2.82,32%,5.12,57%,,1.74,43%,75%,0.0,"5' 5""",135 lbs.,"66""",Orthodox,"Dec 14, 1991"
6d35bf94f7d30241,17-3-0,2.47,33%,3.88,59%,,1.18,25%,62%,0.4,"5' 5""",125 lbs.,"68""",Orthodox,"Oct 27, 1993"
9b28292abe3166d5,3-2-0,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,--,225 lbs.,--,,--
7bd94b60d7521e4a,6-5-0,3.05,49%,2.82,35%,,0.00,0%,50%,6.1,"5' 8""",135 lbs.,"68""",Orthodox,"Oct 13, 1986"
c482c8605455a213,14-6-0,3.98,51%,6.08,52%,,1.54,37%,100%,0.0,"6' 3""",264 lbs.,"74""",Orthodox,"Mar 15, 1991"
184b955181bdef52,0-1-0,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,"5' 10""",188 lbs.,--,Orthodox,--
e76d9f656ceb82ab,3-2-0,4.83,47%,5.56,38%,,2.27,50%,77%,0.4,"5' 2""",115 lbs.,"63""",Orthodox,"Jul 14, 1990"
dd1b90eea08887f6,0-3-0,0.32,13%,3.34,25%,,0.00,0%,0%,0.0,--,185 lbs.,--,Orthodox,--
39f62b833e4cf126,1-2-0,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,--,--,--,,--
2f95a3c6d58b2aad,35-10-0 (1 NC),2.72,45%,2.79,49%,,1.44,62%,60%,0.8,"5' 9""",135 lbs.,"71""",Southpaw,"Aug 04, 1980"
7c6e87729e824ef4,21-11-0,1.93,38%,2.63,50%,,2.00,68%,81%,0.9,"6' 2""",185 lbs.,"78""",Orthodox,"Nov 18, 1982"
1e38bba6738b7b10,1-3-1,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,"5' 3""",145 lbs.,--,,"Jun 10, 1970"
d26934530dc5b248,6-2-0,2.91,54%,6.26,26%,,2.57,40%,33%,0.0,"6' 1""",250 lbs.,--,Orthodox,"Aug 25, 1977"
578ef12674df1e6a,15-8-0,5.19,39%,6.64,56%,,0.15,50%,77%,0.2,"5' 9""",135 lbs.,"68""",Orthodox,"Mar 26, 1988"
c487223b0289bda9,4-3-0,3.59,38%,5.08,59%,,0.93,100%,0%,0.0,"5' 11""",170 lbs.,"72""",Orthodox,"Aug 17, 1988"
7460ddef986d3144,14-6-1,3.13,44%,3.13,58%,,0.00,0%,57%,0.0,"5' 7""",135 lbs.,"68""",Orthodox,"Sep 14, 1991"
d0f3959b4a9747e6,32-10-0,3.65,46%,3.81,60%,,0.47,51%,92%,0.1,"5' 7""",135 lbs.,"70""",Orthodox,"Sep 09, 1986"
6fd953151d981979,15-7-0,3.92,46%,4.34,61%,,0.70,25%,67%,0.0,"5' 5""",125 lbs.,"67""",Southpaw,"Sep 29, 1992"
103e2e33a60683e1,5-4-0,3.42,38%,5.02,45%,,0.38,20%,50%,0.4,"5' 8""",135 lbs.,"67""",Orthodox,"Jun 27, 1990"
d35298b6df168456,8-1-1,3.09,36%,3.67,51%,,3.01,29%,66%,0.5,"5' 1""",115 lbs.,"58""",Orthodox,"Oct 17, 1990"
fe5a9547479396ab,13-3-0 (1 NC),2.90,40%,4.38,56%,,2.26,41%,80%,0.3,"5' 9""",145 lbs.,"71""",Orthodox,"Oct 14, 1986"
7a15f3694c5cbc02,35-17-0 (2 NC),2.10,39%,2.91,54%,,1.85,38%,70%,1.2,"5' 10""",155 lbs.,"72""",Orthodox,"Jul 05, 1979"
0541480fbf719d86,17-15-1 (2 NC),3.06,54%,3.20,52%,,1.19,57%,33%,0.0,"6' 0""",205 lbs.,"72""",Orthodox,"Mar 22, 1972"
8fd76e1b49c00ae2,7-6-0 (1 NC),0.88,19%,2.20,66%,,4.71,26%,0%,0.0,"5' 9""",155 lbs.,--,Orthodox,"Sep 25, 1977"
11583163f45c7b31,8-5-0,4.69,57%,2.87,56%,,0.00,0%,60%,0.0,"5' 11""",145 lbs.,"73""",Orthodox,"Jul 28, 1995"
d53482bef23235ba,17-4-0,1.61,45%,2.89,42%,,0.35,20%,66%,0.7,"6' 0""",185 lbs.,"75""",Southpaw,"May 05, 1989"
b757c73f443d4fca,8-12-0,1.65,38%,4.77,53%,,0.37,7%,22%,0.7,"6' 2""",170 lbs.,--,Orthodox,"Aug 06, 1974"
4b37a0bc2ab4cae1,9-7-0,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,"5' 8""",145 lbs.,--,,"May 09, 1983"
41b34b7f11f6d085,1-7-0,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,--,--,--,,--
9abc648e76c4493a,18-9-0,5.88,51%,4.38,47%,,1.03,50%,55%,0.1,"6' 0""",145 lbs.,"73""",Switch,"Jun 09, 1989"
669a3cb6e394f515,3-2-0,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,"5' 10""",199 lbs.,--,Orthodox,"Mar 06, 1965"
e17770faae3ca54c,10-1-0,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,"6' 3""",250 lbs.,--,,"Jun 10, 1984"
e70de1859b7ee78e,15-3-0,1.41,45%,2.20,56%,,1.76,38%,100%,0.0,"5' 11""",170 lbs.,"74""",Orthodox,"Sep 17, 1984"
ca28cdf526d6b6e9,11-0-0,2.72,44%,1.63,58%,,2.12,43%,80%,0.3,"5' 10""",155 lbs.,"72""",Orthodox,"Dec 08, 2000"
a075a34d7527fadf,7-4-0,2.39,52%,4.06,46%,,1.56,33%,75%,0.0,"5' 3""",135 lbs.,"65""",Orthodox,"Jan 21, 1999"
b07aed698fba8624,18-2-0,5.56,60%,4.01,45%,,3.82,68%,100%,0.7,"6' 0""",185 lbs.,"76""",Southpaw,"Dec 07, 1992"
6db394bf6c3b017c,10-2-0,6.32,50%,10.11,38%,,0.00,0%,0%,0.0,"6' 0""",185 lbs.,"74""",Orthodox,"Jul 14, 1989"
6ebe96a116e79e52,13-7-0 (1 NC),3.56,42%,5.74,52%,,1.40,71%,50%,0.8,"6' 1""",205 lbs.,"75""",Orthodox,"Feb 22, 1993"
1e13936d708bcff7,13-19-2,0.80,38%,3.10,43%,,0.00,0%,50%,0.0,"6' 2""",205 lbs.,--,Open Stance,"Jan 13, 1967"
040a74bb0a465c54,21-4-0,3.52,43%,3.15,60%,,1.24,60%,73%,0.3,"5' 8""",145 lbs.,"70""",Southpaw,"Jan 22, 1994"
2f181c0467965b98,27-7-0,3.75,52%,3.78,47%,,1.52,41%,57%,1.1,"6' 2""",185 lbs.,"75""",Orthodox,"Dec 28, 1995"
adf9a901308fb8e3,5-0-0,7.60,51%,5.87,53%,,2.00,66%,100%,0.0,"6' 0""",155 lbs.,"75""",Southpaw,"Aug 10, 1992"
c4fe2e9a06ea5bcb,18-8-0,1.28,49%,1.90,59%,,0.62,50%,26%,0.0,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 19, 1981"
8d3273573b85be09,24-3-0,2.28,51%,1.94,53%,,4.74,45%,44%,1.4,"5' 4""",125 lbs.,"65""",Orthodox,"Jan 25, 1994"
a4dc0f2b95df4cc1,12-4-0,2.58,39%,4.23,52%,,0.00,0%,59%,0.0,"5' 7""",135 lbs.,"68""",Orthodox,"Oct 08, 1997"
088aa1b19b2dc14a,6-1-0,1.92,41%,5.75,27%,,0.00,0%,0%,0.0,"5' 7""",125 lbs.,"67""",Southpaw,"Mar 22, 2004"
91186547a7f3f758,13-5-0,2.02,49%,1.20,61%,,3.74,38%,31%,1.2,"6' 0""",170 lbs.,"74""",Orthodox,"Nov 29, 1976"
d615d6a10a4704cd,10-3-0 (1 NC),1.67,36%,2.60,41%,,0.00,0%,40%,5.0,"6' 0""",155 lbs.,--,,"Jun 06, 1985"
2b074403b7c6cdb4,22-5-0,4.84,43%,4.93,61%,,0.17,14%,75%,0.0,"5' 7""",145 lbs.,"70""",Southpaw,"Jul 31, 1991"
67a992d4cff22466,7-3-0,1.07,39%,3.33,43%,,0.50,33%,37%,0.0,"5' 6""",115 lbs.,--,Orthodox,"Mar 05, 1989"
f16ddfa31236efed,7-3-0,3.13,37%,6.07,42%,,0.00,0%,0%,0.0,"5' 4""",125 lbs.,--,Orthodox,"Oct 17, 1988"
41e83a89929d1327,22-5-0,2.23,62%,1.30,43%,,5.64,55%,60%,1.7,"6' 3""",225 lbs.,"79""",Orthodox,"Jun 26, 1991"
710f0f8c5d5c9d41,15-5-0,4.94,39%,5.36,44%,,0.00,0%,53%,0.0,"5' 11""",145 lbs.,"71""",Orthodox,"Jan 31, 1991"
64d47ef881a437a4,7-2-0,3.46,58%,2.03,46%,,0.00,0%,52%,0.2,"6' 1""",185 lbs.,"74""",Orthodox,"Mar 28, 1988"
c6bf75775b278ed8,13-7-0 (1 NC),5.74,34%,1.91,67%,,0.00,0%,0%,0.0,"6' 2""",170 lbs.,--,,"Feb 27, 1980"
49b130de1da2e1bf,9-6-0,2.36,44%,6.06,38%,,1.61,26%,20%,0.4,"5' 4""",135 lbs.,"63""",Southpaw,"Jun 01, 1991"
e87a13e02c01331d,8-5-0,2.43,42%,1.97,56%,,3.50,29%,60%,1.0,"5' 6""",135 lbs.,"68""",Orthodox,"Sep 23, 1990"
27a9ce2c04071efe,8-0-0,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,--,155 lbs.,--,,"Jul 01, 2001"
c61b49cec6abd6b9,4-3-0,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,"5' 10""",170 lbs.,--,,--
dc7927cd622676a7,12-5-0,4.58,53%,3.82,53%,,2.88,38%,63%,0.0,"5' 8""",125 lbs.,"70""",Switch,"Jan 23, 1991"
c11036da9162cb5f,1-4-0,1.56,20%,2.08,75%,,0.00,0%,0%,0.0,"5' 10""",185 lbs.,--,Orthodox,--
430c533614d45813,9-3-0,5.83,31%,9.25,44%,,0.00,0%,0%,0.0,"5' 4""",115 lbs.,"64""",Orthodox,"May 08, 1996"
e741536153227386,4-3-0,0.89,37%,3.25,47%,,0.00,0%,0%,0.0,"6' 0""",235 lbs.,--,Orthodox,"Jul 14, 1971"
33a331684283900f,29-6-0 (1 NC),4.32,41%,4.39,55%,,2.92,36%,92%,0.5,"5' 9""",155 lbs.,"69""",Orthodox,"Jan 11, 1984"
4438482bd1d5a029,6-1-0,2.73,40%,4.53,56%,,1.00,33%,50%,0.0,"5' 8""",125 lbs.,"69""",Orthodox,"Mar 08, 1988"
58bbef3770bb2dfc,23-4-0,4.53,54%,3.03,53%,,0.18,33%,46%,1.1,"6' 3""",170 lbs.,"77""",Orthodox,"Mar 02, 1993"
31ee470ef5dc8d7f,23-15-0,3.73,41%,3.42,62%,,0.71,60%,63%,0.3,"5' 9""",170 lbs.,"70""",Orthodox,"Oct 03, 1983"
bd92cf5da5413d2a,1-4-0,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,--,--,--,,--
dc5a6b2fdb27e7dc,15-12-0,0.50,46%,2.02,30%,,0.00,0%,53%,0.0,"6' 0""",170 lbs.,--,Southpaw,"Aug 08, 1988"
d317a5e2b3f88c5f,15-8-0,3.04,48%,3.95,50%,,1.22,50%,62%,0.8,"5' 11""",185 lbs.,"72""",Orthodox,"Jan 04, 1991"
029afd138865d20a,20-12-0,1.85,48%,3.30,58%,,0.29,25%,44%,1.5,"5' 8""",155 lbs.,"68""",Orthodox,"Nov 14, 1990"
d156513a19acf856,33-18-1 (1 NC),3.28,44%,3.63,52%,,0.06,14%,82%,0.1,"6' 2""",185 lbs.,"75""",Southpaw,"May 06, 1986"
f4abf9aeda861283,7-1-0,6.97,62%,2.11,50%,,0.00,0%,100%,0.0,"6' 0""",170 lbs.,"74""",Orthodox,"Dec 27, 1996"
86c1441676af2c73,4-1-0,6.00,66%,12.00,33%,,0.00,0%,0%,0.0,"6' 2""",205 lbs.,"78""",Orthodox,"Jan 11, 1994"
20821819c401ced8,6-4-1,2.27,24%,5.91,63%,,0.00,0%,20%,0.0,"6' 0""",154 lbs.,--,Orthodox,"Oct 09, 1983"
1e327b281ef6a745,14-2-1,3.29,47%,0.82,78%,,5.84,56%,100%,0.0,"6' 2""",170 lbs.,"76""",Orthodox,"Oct 30, 1986"
247fbbfafea60bb1,7-3-0,5.53,35%,24.47,33%,,0.00,0%,100%,0.0,"5' 5""",115 lbs.,--,Southpaw,"Jul 11, 1987"
ee0b69e307c857e5,2-0-0,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,--,185 lbs.,--,,--
c912f676692c353a,17-21-1,0.83,29%,3.76,40%,,3.13,57%,100%,0.8,"6' 2""",315 lbs.,--,Southpaw,"Jan 26, 1970"
d562b12b8fe88336,28-7-0 (2 NC),3.16,69%,6.32,33%,,0.00,0%,50%,0.0,"5' 10""",170 lbs.,--,Orthodox,"Feb 06, 1987"
70fa1c64a2c439ef,8-4-0,0.99,30%,3.85,46%,,0.00,0%,0%,0.0,"5' 10""",185 lbs.,"74""",Orthodox,"Apr 06, 1988"
41cc71cbf210e0fe,11-3-0,5.83,52%,4.04,50%,,0.52,16%,65%,0.8,"5' 9""",145 lbs.,"70""",Switch,"May 28, 1990"
6c40705cf6c0d7e2,9-0-0,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,--,145 lbs.,--,,"Jun 15, 2003"
87a1dc546b1c5caf,17-9-0,1.33,44%,2.98,46%,,3.96,43%,35%,1.1,"5' 10""",145 lbs.,"72""",Southpaw,"Nov 08, 1988"
bc7d1ad49fcb2d08,11-2-0,2.26,49%,2.06,54%,,2.01,33%,0%,4.3,"5' 3""",115 lbs.,"68""",Orthodox,"Jun 24, 1995"
f139d6836efd43dd,30-1-0,2.65,53%,1.38,60%,,11.11,53%,0%,3.2,"6' 0""",170 lbs.,"75""",Orthodox,"Sep 09, 1993"
53adf5b845d91e4a,1-1-0,6.75,39%,2.01,83%,,0.00,0%,0%,0.0,"5' 8""",190 lbs.,--,Orthodox,"May 28, 1966"
23a8c33869bf5392,27-7-2,1.47,34%,2.67,54%,,0.00,0%,25%,1.0,"5' 11""",185 lbs.,--,Orthodox,"Nov 21, 1985"
cad24459b28592ca,18-9-0 (1 NC),3.44,47%,4.03,50%,,1.83,25%,80%,0.1,"6' 1""",185 lbs.,"75""",Southpaw,"Apr 21, 1987"
8738eacd62e82a32,14-8-1,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,"6' 2""",230 lbs.,--,Southpaw,"May 29, 1971"
9199e0735b83dd32,0-1-0,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,"5' 6""",240 lbs.,--,,"Jul 16, 1974"
1ffc38f67785797b,0-1-0,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,"5' 6""",160 lbs.,--,Orthodox,--
5e4eec08896c9423,14-5-0,4.43,46%,2.22,59%,,4.89,50%,83%,0.0,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989"
19ba965651486013,14-3-0 (1 NC),3.97,37%,3.08,61%,,0.34,14%,60%,0.0,"6' 0""",155 lbs.,--,,"Feb 02, 1990"
a0e75f4a13eb73f1,11-5-0,1.76,46%,3.35,37%,,0.52,25%,53%,0.5,"6' 0""",145 lbs.,"72""",Orthodox,"Feb 11, 1990"
b03a0c78ca45facf,6-3-0,3.00,52%,6.53,31%,,1.00,20%,50%,0.0,"6' 3""",185 lbs.,"75""",Orthodox,"Jan 13, 1995"
17615148dd4be6f6,14-4-1,0.93,19%,4.93,50%,,0.00,0%,0%,0.0,"5' 4""",145 lbs.,"68""",Southpaw,"Apr 26, 1990"
1562b12763cc8d67,10-5-0,0.20,36%,2.60,53%,,0.00,0%,25%,0.8,"5' 11""",200 lbs.,--,Orthodox,"May 14, 1974"
6a1901c62ab3870f,26-15-0,6.37,48%,5.58,54%,,2.10,54%,75%,0.3,"5' 1""",115 lbs.,"62""",Orthodox,"Sep 25, 1991"
d221ee27afc7a60e,19-6-0,3.26,42%,2.77,63%,,1.93,50%,66%,0.3,"5' 11""",170 lbs.,"75""",Orthodox,"Mar 08, 1984"
9bad58fa651d6196,14-4-0,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,"5' 7""",200 lbs.,--,Orthodox,"Jul 16, 1973"
7977fb0fd9c5955d,0-0-0,0.00,0%,0.00,0%,,0.00,0%,0%,0.0,--,--,--,,"Oct 24, 1994"
00debc804e2b1cd4,18-7-0 (1 NC),2.21,50%,2.72,46%,,2.83,50%,57%,0.4,"6' 1""",185 lbs.,"74""",Switch,"Nov 15, 1979"
46e2ca71fd5089cb,7-3-0,2.87,50%,3.50,58%,,0.67,20%,40%,0.0,"6' 0""",205 lbs.,--,Orthodox,"Mar 31, 1973"
d6a3e131ad4ba064,13-3-0,3.56,38%,3.77,53%,,0.00,0%,33%,0.0,"5' 7""",145 lbs.,"68""",Orthodox,"Jan 13, 1989"
e20ad078a7d63361,5-1-0,4.62,78%,1.86,50%,,4.47,50%,60%,1.1,"6' 3""",205 lbs.,--,Orthodox,"Jul 23, 1991"
047a91d3d9c79b05,8-3-0,4.59,48%,5.54,51%,,2.28,66%,100%,0.0,"5' 9""",145 lbs.,"71""",Orthodox,"Feb 20, 1993"
c7c39e2fb70248b3,13-8-0,3.11,46%,2.76,53%,,0.68,30%,38%,0.5,"5' 6""",135 lbs.,"64""",Orthodox,"Dec 01, 1986"
e06fd1260ac865a7,0-5-1,0.00,0%,3.13,25%,,0.00,0%,0%,0.0,"5' 11""",205 lbs.,--,Orthodox,"Mar 28, 1967"
d802174b0c0c1f4e,21-2-1 (1 NC),3.65,52%,2.59,56%,,0.79,22%,87%,0.0,"6' 3""",205 lbs.,"75""",Orthodox,"Jun 02, 1992"
af997f7611673880,20-8-0,2.08,55%,4.21,40%,,5.08,36%,0%,1.4,"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987"
25b31165758402dd,12-3-0,5.73,52%,5.00,69%,,0.00,0%,100%,0.0,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982"
dbd198f780286aca,1-4-0,1.09,50%,7.64,50%,,0.00,0%,0%,0.0,--,205 lbs.,--,Orthodox,"Oct 04, 1998"
cc49ada1ea955b13,16-7-0,5.49,48%,14.27,43%,,0.00,0%,0%,0.0,"6' 0""",170 lbs.,"72""",Orthodox,"Dec 28, 1994"
78d48d3874dacafd,14-5-0,2.47,42%,2.47,69%,,0.65,100%,0%,0.0,"6' 1""",251 lbs.,--,Orthodox,"Aug 05, 1981"
4665f9f909cd7214,10-3-0,3.23,58%,3.75,45%,,1.83,16%,75%,0.0,"5' 7""",170 lbs.,"70""",Orthodox,"Dec 01, 1985"
031da10a00c8ccd4,16-7-1,1.73,35%,4.23,51%,,3.17,35%,71%,0.6,"5' 7""",145 lbs.,"67""",Orthodox,"Jan 21, 1997"
79ded75550efc139,39-7-0 (1 NC),0.97,58%,1.25,58%,,2.54,41%,60%,4.0,"5' 11""",154 lbs.,--,Southpaw,"May 09, 1983"
7d420039bbfe7c1a,26-13-0 (1 NC),4.40,49%,5.66,46%,,1.11,46%,59%,0.2,"5' 7""",135 lbs.,"69""",Orthodox,"Jun 25, 1993"
0c1a04afca64e38f,15-7-0,1.35,40%,11.50,32%,,0.00,0%,33%,0.0,"5' 10""",255 lbs.,--,Southpaw,"Jun 19, 1983"
1ccff7f0cfdf85eb,10-3-0,0.00,0%,0.54,81%,,0.00,0%,0%,8.1,"6' 0""",170 lbs.,--,Orthodox,"Aug 26, 1977"
