fighter_id,slpm,sapm,td_avg,sub_avg,weight,reach,stance,dob,wins,losses,draws,str_acc_pct,str_def_pct,td_acc_pct,td_def_pct,height_inches,fighter_name
989b85f6540c86b1,3.9,6.28,0.0,0.0,170,75,Orthodox,"Jun 22, 1991",6,2,0,52,44,0,0,69,John Adajar
2620f3eb21c79614,0.0,0.0,0.0,0.0,225,,Southpaw,,8,1,0,0,0,0,0,72,Scott Adams
83b00f7597e5ac83,7.09,4.06,0.91,0.0,265,80,Orthodox,"Jan 16, 1992",5,3,0,55,34,66,57,77,Juan Adams
a77633a989013265,3.17,5.93,0.0,0.0,185,76,Orthodox,"Jan 13, 1988",8,2,0,41,44,0,0,73,Anthony Adams
acff8cdcfc634cb5,0.0,0.0,0.0,0.0,256,,,"Sep 07, 1997",6,2,0,0,0,0,0,,
79cb2a690b9ba5e8,3.65,3.04,0.0,0.5,125,65,Southpaw,"Jul 29, 1992",4,4,0,40,64,0,100,65,Zarrukh Adashev
1338e2c7480bdf9e,4.03,3.22,0.05,0.1,185,80,Switch,"Jul 22, 1989",24,6,0,48,55,9,76,76,Israel Adesanya
0e9869d712e81f8f,0.0,0.0,0.0,0.0,225,,Orthodox,"Apr 26, 1965",7,20,2,0,0,0,0,75,Sam Adkins
7a846fcbf182a7c8,1.66,0.33,4.97,5.0,170,76,Switch,"May 03, 2000",5,1,0,83,75,50,50,71,Mohamed Ado
ebc5af72ad5a28cb,0.69,4.56,0.0,0.0,155,,Orthodox,"Jan 13, 1979",24,6,0,11,42,0,0,68,Nick Agallar
a08ddd04eaffd81d,4.43,3.62,0.55,0.8,125,68,Southpaw,"Apr 07, 1997",10,5,0,54,52,66,45,66,Mariya Agapova
26f4288e83188c61,0.0,0.0,0.0,0.0,135,,,"Feb 16, 1992",12,3,0,0,0,0,0,,
44aa652b181bcf68,0.0,0.0,0.0,0.0,170,,Orthodox,"Jan 20, 1969",2,3,1,0,0,0,0,70,Marcelo Aguiar
501821d7fb7b95c1,0.0,0.0,0.0,0.0,185,,,"Feb 10, 1988",17,1,0,0,0,0,0,72,
6cadc0a0ba7dc015,0.0,0.0,0.0,0.0,185,,,"Jan 01, 1972",26,19,,0,0,0,0,70,Edwin Aguilar
8f382b3baa954d2a,4.93,7.19,0.94,0.2,115,63,Orthodox,"May 08, 1982",20,8,0,50,53,25,50,63,Jessica Aguilar
cf946e03ba2e7666,3.96,4.81,0.16,0.0,155,73,Orthodox,"Sep 07, 1988",17,5,0,40,52,16,78,67,Kevin Aguilar
c051c2e12d692b8a,2.54,2.29,1.52,1.1,125,62,Orthodox,"Mar 13, 1996",12,4,0,38,61,29,45,64,Jesus Aguilar
ae071698e1a3ccd4,2.54,4.04,0.0,0.0,170,72,Switch,"Nov 25, 1991",14,8,0,37,48,0,60,69,Christian Aguilera
0978385b2bd9ef9b,0.73,2.89,1.16,0.6,135,74,Southpaw,"Jan 15, 1996",7,2,0,33,45,20,33,69,Nick Aguirre
b2efa582adf73604,2.74,2.19,0.0,0.0,125,67,Switch,"Apr 07, 2005",13,2,0,60,59,0,100,69,Agulali
ff584c17bccbae0b,2.47,0.53,6.0,0.0,145,72,Southpaw,"Sep 08, 1998",17,3,0,75,57,46,100,69,Ahejiang Ailinuer
9e3dbb9c68ed5d1a,2.87,6.33,0.0,0.0,155,,Orthodox,"Dec 25, 1980",14,6,,33,59,0,71,69,Mike Aina
49dea784f6cfed71,5.0,11.25,0.0,0.0,135,71,Switch,"Jun 19, 1994",6,2,0,40,25,0,0,68,Ashiek Ajim
2eada40ac8801559,0.59,2.58,0.0,0.5,135,,Southpaw,"Jul 27, 1974",18,10,0,45,55,0,8,64,Hitomi Akano
16690d100f995f8f,2.97,2.84,2.58,0.2,185,73,Orthodox,"Oct 12, 1987",21,6,1,34,55,45,65,72,Omari Akhmedov
b0550072e5f0afa7,3.1,3.62,2.29,1.0,170,75,Orthodox,"Jul 29, 1975",14,6,,41,57,67,92,70,Yoshihiro Akiyama
1fc64507a0cb38cf,1.8,3.97,1.0,0.0,170,72,Switch,"Dec 19, 1991",6,2,0,25,57,40,87,70,Rostem Akman
38b50fd1e1b5b656,3.27,3.14,0.65,0.0,205,,Orthodox,"May 14, 1982",13,5,0,39,60,14,57,74,Razak Al-Hassan
597499ac7a5aac62,4.61,3.43,1.47,0.0,155,69,Orthodox,"Apr 10, 1995",16,4,0,41,60,23,54,68,Abdul-Kareem Al-Selwady
1cf1310684a841f5,1.36,3.61,0.0,0.0,245,77,Orthodox,"Jul 14, 1973",6,6,0,19,53,0,0,74,Mostapha Al-Turk
7578cc6bd750206b,3.84,6.66,2.06,0.0,205,75,Orthodox,"Jun 07, 1991",5,1,0,65,23,50,42,74,Herdem Alacabek
2144954270be834d,0.0,0.0,0.0,0.0,135,,,,0,4,0,0,0,0,0,66,Javi Alanis
1897b7b913736a7c,2.82,5.12,1.74,0.0,135,66,Orthodox,"Dec 14, 1991",17,10,2,32,57,43,75,65,Alatengheili
6d35bf94f7d30241,2.47,3.88,1.18,0.4,125,68,Orthodox,"Oct 27, 1993",17,3,0,33,59,25,62,65,Amir Albazi
9b28292abe3166d5,0.0,0.0,0.0,0.0,225,,,,3,2,0,0,0,0,0,,Brett Albee
7bd94b60d7521e4a,3.05,2.82,0.0,6.1,135,68,Orthodox,"Oct 13, 1986",6,5,0,49,35,0,50,68,John Albert
c482c8605455a213,3.98,6.08,1.54,0.0,264,74,Orthodox,"Mar 15, 1991",14,6,0,51,52,37,100,75,Junior Albini
184b955181bdef52,0.0,0.0,0.0,0.0,188,,Orthodox,,0,1,0,0,0,0,0,70,Wes Albritton
e76d9f656ceb82ab,4.83,5.56,2.27,0.4,115,63,Orthodox,"Jul 14, 1990",3,2,0,47,38,50,77,62,Aleksandra Albu
dd1b90eea08887f6,0.32,3.34,0.0,0.0,185,,Orthodox,,0,3,0,13,25,0,0,,Israel Albuquerque
39f62b833e4cf126,0.0,0.0,0.0,0.0,,,,,1,2,0,0,0,0,0,,Juan Alcain
2f95a3c6d58b2aad,2.72,2.79,1.44,0.8,135,71,Southpaw,"Aug 04, 1980",35,10,,45,49,62,60,69,Iuri Alcantara
7c6e87729e824ef4,1.93,2.63,2.0,0.9,185,78,Orthodox,"Nov 18, 1982",21,11,0,38,50,68,81,74,Ildemar Alcantara
1e38bba6738b7b10,0.0,0.0,0.0,0.0,145,,,"Jun 10, 1970",1,3,1,0,0,0,0,63,Alfonso Alcarez
d26934530dc5b248,2.91,6.26,2.57,0.0,250,,Orthodox,"Aug 25, 1977",6,2,0,54,26,40,33,73,Gilbert Aldana
578ef12674df1e6a,5.19,6.64,0.15,0.2,135,68,Orthodox,"Mar 26, 1988",15,8,0,39,56,50,77,69,Irene Aldana
c487223b0289bda9,3.59,5.08,0.93,0.0,170,72,Orthodox,"Aug 17, 1988",4,3,0,38,59,100,0,71,Hector Aldana
7460ddef986d3144,3.13,3.13,0.0,0.0,135,68,Orthodox,"Sep 14, 1991",14,6,1,44,58,0,57,67,Jose Alday
d0f3959b4a9747e6,3.65,3.81,0.47,0.1,135,70,Orthodox,"Sep 09, 1986",32,10,0,46,60,51,92,67,Jose Aldo
6fd953151d981979,3.92,4.34,0.7,0.0,125,67,Southpaw,"Sep 29, 1992",15,7,0,46,61,25,67,65,JJ Aldrich
103e2e33a60683e1,3.42,5.02,0.38,0.4,135,67,Orthodox,"Jun 27, 1990",5,4,0,38,45,20,50,68,Irina Alekseeva
d35298b6df168456,3.09,3.67,3.01,0.5,115,58,Orthodox,"Oct 17, 1990",8,1,1,36,51,29,66,61,Talita Alencar
fe5a9547479396ab,2.9,4.38,2.26,0.3,145,71,Orthodox,"Oct 14, 1986",13,3,,40,56,41,80,69,Jim Alers
7a15f3694c5cbc02,2.1,2.91,1.85,1.2,155,72,Orthodox,"Jul 05, 1979",35,17,,39,54,38,70,70,John Alessio
0541480fbf719d86,3.06,3.2,1.19,0.0,205,72,Orthodox,"Mar 22, 1972",17,15,,54,52,57,33,72,Houston Alexander
8fd76e1b49c00ae2,0.88,2.2,4.71,0.0,155,,Orthodox,"Sep 25, 1977",7,6,,19,66,26,0,69,Kenneth Alexander
11583163f45c7b31,4.69,2.87,0.0,0.0,145,73,Orthodox,"Jul 28, 1995",8,5,0,57,56,0,60,71,Lucas Alexander
d53482bef23235ba,1.61,2.89,0.35,0.7,185,75,Southpaw,"May 05, 1989",17,4,0,45,42,20,66,72,Marcio Alexandre Junior
b757c73f443d4fca,1.65,4.77,0.37,0.7,170,,Orthodox,"Aug 06, 1974",8,12,0,38,53,7,22,74,Olaf Alfonso
4b37a0bc2ab4cae1,0.0,0.0,0.0,0.0,145,,,"May 09, 1983",9,7,0,0,0,0,0,68,Pablo Alfonso
41b34b7f11f6d085,0.0,0.0,0.0,0.0,,,,,1,7,0,0,0,0,0,,
9abc648e76c4493a,5.88,4.38,1.03,0.1,145,73,Switch,"Jun 09, 1989",18,9,0,51,47,50,55,72,Bill Algeo
669a3cb6e394f515,0.0,0.0,0.0,0.0,199,,Orthodox,"Mar 06, 1965",3,2,0,0,0,0,0,70,Royce Alger
e17770faae3ca54c,0.0,0.0,0.0,0.0,250,,,"Jun 10, 1984",10,1,0,0,0,0,0,75,
e70de1859b7ee78e,1.41,2.2,1.76,0.0,170,74,Orthodox,"Sep 17, 1984",15,3,0,45,56,38,100,71,Sultan Aliev
ca28cdf526d6b6e9,2.72,1.63,2.12,0.3,155,72,Orthodox,"Dec 08, 2000",11,0,0,44,58,43,80,70,Nurullo Aliev
a075a34d7527fadf,2.39,4.06,1.56,0.0,135,65,Orthodox,"Jan 21, 1999",7,4,0,52,46,33,75,63,Kimbert Alintozon
b07aed698fba8624,5.56,4.01,3.82,0.7,185,76,Southpaw,"Dec 07, 1992",18,2,0,60,45,68,100,72,Ikram Aliskerov
6db394bf6c3b017c,6.32,10.11,0.0,0.0,185,74,Orthodox,"Jul 14, 1989",10,2,0,50,38,0,0,72,Leon Aliu
6ebe96a116e79e52,3.56,5.74,1.4,0.8,205,75,Orthodox,"Feb 22, 1993",13,7,,42,52,71,50,73,John Allan
1e13936d708bcff7,0.8,3.1,0.0,0.0,205,,Open Stance,"Jan 13, 1967",13,19,2,38,43,0,50,74,George Allen
040a74bb0a465c54,3.52,3.15,1.24,0.3,145,70,Southpaw,"Jan 22, 1994",21,4,0,43,60,60,73,68,Arnold Allen
2f181c0467965b98,3.75,3.78,1.52,1.1,185,75,Orthodox,"Dec 28, 1995",27,7,0,52,47,41,57,74,Brendan Allen
adf9a901308fb8e3,7.6,5.87,2.0,0.0,155,75,Southpaw,"Aug 10, 1992",5,0,0,51,53,66,100,72,Daniel Allen
c4fe2e9a06ea5bcb,1.28,1.9,0.62,0.0,170,76,Orthodox,"Feb 19, 1981",18,8,0,49,59,50,26,71,Ben Alloway
8d3273573b85be09,2.28,1.94,4.74,1.4,125,65,Orthodox,"Jan 25, 1994",24,3,0,51,53,45,44,64,Asu Almabayev
a4dc0f2b95df4cc1,2.58,4.23,0.0,0.0,135,68,Orthodox,"Oct 08, 1997",12,4,0,39,52,0,59,67,Bekzat Almakhan
088aa1b19b2dc14a,1.92,5.75,0.0,0.0,125,67,Southpaw,"Mar 22, 2004",6,1,0,41,27,0,0,67,John Dave Almanza
91186547a7f3f758,2.02,1.2,3.74,1.2,170,74,Orthodox,"Nov 29, 1976",13,5,0,49,61,38,31,72,Ricardo Almeida
d615d6a10a4704cd,1.67,2.6,0.0,5.0,155,,,"Jun 06, 1985",10,3,,36,41,0,40,72,Magno Almeida
2b074403b7c6cdb4,4.84,4.93,0.17,0.0,145,70,Southpaw,"Jul 31, 1991",22,5,0,43,61,14,75,67,Thomas Almeida
67a992d4cff22466,1.07,3.33,0.5,0.0,115,,Orthodox,"Mar 05, 1989",7,3,0,39,43,33,37,66,Ericka Almeida
f16ddfa31236efed,3.13,6.07,0.0,0.0,125,,Orthodox,"Oct 17, 1988",7,3,0,37,42,0,0,64,Estefani Almeida
41e83a89929d1327,2.23,1.3,5.64,1.7,225,79,Orthodox,"Jun 26, 1991",22,5,0,62,43,55,60,75,Jailton Almeida
710f0f8c5d5c9d41,4.94,5.36,0.0,0.0,145,71,Orthodox,"Jan 31, 1991",15,5,0,39,44,0,53,71,Lucas Almeida
64d47ef881a437a4,3.46,2.03,0.0,0.2,185,74,Orthodox,"Mar 28, 1988",7,2,0,58,46,0,52,73,Cesar Almeida
c6bf75775b278ed8,5.74,1.91,0.0,0.0,170,,,"Feb 27, 1980",13,7,,34,67,0,0,74,
49b130de1da2e1bf,2.36,6.06,1.61,0.4,135,63,Southpaw,"Jun 01, 1991",9,6,0,44,38,26,20,64,Sarah Alpar
e87a13e02c01331d,2.43,1.97,3.5,1.0,135,68,Orthodox,"Sep 23, 1990",8,5,0,42,56,29,60,66,Ali AlQaisi
27a9ce2c04071efe,0.0,0.0,0.0,0.0,155,,,"Jul 01, 2001",8,0,0,0,0,0,0,,
c61b49cec6abd6b9,0.0,0.0,0.0,0.0,170,,,,4,3,0,0,0,0,0,70,Rico Altamirano
dc7927cd622676a7,4.58,3.82,2.88,0.0,125,70,Switch,"Jan 23, 1991",12,5,0,53,53,38,63,68,Victor Altamirano
c11036da9162cb5f,1.56,2.08,0.0,0.0,185,,Orthodox,,1,4,0,20,75,0,0,70,Mike Altman
430c533614d45813,5.83,9.25,0.0,0.0,115,64,Orthodox,"May 08, 1996",9,3,0,31,44,0,0,64,Patricia Alujas
e741536153227386,0.89,3.25,0.0,0.0,235,,Orthodox,"Jul 14, 1971",4,3,0,37,47,0,0,72,Sean Alvarez
33a331684283900f,4.32,4.39,2.92,0.5,155,69,Orthodox,"Jan 11, 1984",29,6,,41,55,36,92,69,Eddie Alvarez
4438482bd1d5a029,2.73,4.53,1.0,0.0,125,69,Orthodox,"Mar 08, 1988",6,1,0,40,56,33,50,68,Jaime Alvarez
58bbef3770bb2dfc,4.53,3.03,0.18,1.1,170,77,Orthodox,"Mar 02, 1993",23,4,0,54,53,33,46,75,Joel Alvarez
31ee470ef5dc8d7f,3.73,3.42,0.71,0.3,170,70,Orthodox,"Oct 03, 1983",23,15,0,41,62,60,63,69,Thiago Alves
bd92cf5da5413d2a,0.0,0.0,0.0,0.0,,,,,1,4,0,0,0,0,0,,Anthony Alves
dc5a6b2fdb27e7dc,0.5,2.02,0.0,0.0,170,,Southpaw,"Aug 08, 1988",15,12,0,46,30,0,53,72,Amilcar Alves
d317a5e2b3f88c5f,3.04,3.95,1.22,0.8,185,72,Orthodox,"Jan 04, 1991",15,8,0,48,50,50,62,71,Warlley Alves
029afd138865d20a,1.85,3.3,0.29,1.5,155,68,Orthodox,"Nov 14, 1990",20,12,0,48,58,25,44,68,Rafael Alves
d156513a19acf856,3.28,3.63,0.06,0.1,185,75,Southpaw,"May 06, 1986",33,18,,44,52,14,82,74,Sam Alvey
f4abf9aeda861283,6.97,2.11,0.0,0.0,170,74,Orthodox,"Dec 27, 1996",7,1,0,62,50,0,100,72,Christopher Alvidrez
86c1441676af2c73,6.0,12.0,0.0,0.0,205,78,Orthodox,"Jan 11, 1994",4,1,0,66,33,0,0,74,Mahamed Aly
20821819c401ced8,2.27,5.91,0.0,0.0,154,,Orthodox,"Oct 09, 1983",6,4,1,24,63,0,20,72,Andre Amado
1e327b281ef6a745,3.29,0.82,5.84,0.0,170,76,Orthodox,"Oct 30, 1986",14,2,1,47,78,56,100,74,Adlan Amagov
247fbbfafea60bb1,5.53,24.47,0.0,0.0,115,,Southpaw,"Jul 11, 1987",7,3,0,35,33,0,100,65,Maiara Amanajas dos Santos
ee0b69e307c857e5,0.0,0.0,0.0,0.0,185,,,,2,0,0,0,0,0,0,,Chris Amarante
c912f676692c353a,0.83,3.76,3.13,0.8,315,,Southpaw,"Jan 26, 1970",17,21,1,29,40,57,100,74,Jimmy Ambriz
d562b12b8fe88336,3.16,6.32,0.0,0.0,170,,Orthodox,"Feb 06, 1987",28,7,,69,33,0,50,70,JJ Ambrose
70fa1c64a2c439ef,0.99,3.85,0.0,0.0,185,74,Orthodox,"Apr 06, 1988",8,4,0,30,46,0,0,70,Alen Amedovski
41cc71cbf210e0fe,5.83,4.04,0.52,0.8,145,70,Switch,"May 28, 1990",11,3,0,52,50,16,65,69,Hyder Amil
6c40705cf6c0d7e2,0.0,0.0,0.0,0.0,145,,,"Jun 15, 2003",9,0,0,0,0,0,0,,
87a1dc546b1c5caf,1.33,2.98,3.96,1.1,145,72,Southpaw,"Nov 08, 1988",17,9,0,44,46,43,35,70,Makwan Amirkhani
bc7d1ad49fcb2d08,2.26,2.06,2.01,4.3,115,68,Orthodox,"Jun 24, 1995",11,2,0,49,54,33,0,63,Jaqueline Amorim
f139d6836efd43dd,2.65,1.38,11.11,3.2,170,75,Orthodox,"Sep 09, 1993",30,1,0,53,60,53,0,72,Yaroslav Amosov
53adf5b845d91e4a,6.75,2.01,0.0,0.0,190,,Orthodox,"May 28, 1966",1,1,0,39,83,0,0,68,Bertrand Amoussou
23a8c33869bf5392,1.47,2.67,0.0,1.0,185,,Orthodox,"Nov 21, 1985",27,7,2,34,54,0,25,71,Karl Amoussou
cad24459b28592ca,3.44,4.03,1.83,0.1,185,75,Southpaw,"Apr 21, 1987",18,9,,47,50,25,80,73,Eryk Anders
8738eacd62e82a32,0.0,0.0,0.0,0.0,230,,Southpaw,"May 29, 1971",14,8,1,0,0,0,0,74,Matt Andersen
9199e0735b83dd32,0.0,0.0,0.0,0.0,240,,,"Jul 16, 1974",0,1,0,0,0,0,0,66,Andy Anderson
1ffc38f67785797b,0.0,0.0,0.0,0.0,160,,Orthodox,,0,1,0,0,0,0,0,66,Lowell Anderson
5e4eec08896c9423,4.43,2.22,4.89,0.0,205,79,Orthodox,"Sep 22, 1989",14,5,0,46,59,50,83,75,Corey Anderson
19ba965651486013,3.97,3.08,0.34,0.0,155,,,"Feb 02, 1990",14,3,,37,61,14,60,72,
a0e75f4a13eb73f1,1.76,3.35,0.52,0.5,145,72,Orthodox,"Feb 11, 1990",11,5,0,46,37,25,53,72,Megan Anderson
b03a0c78ca45facf,3.0,6.53,1.0,0.0,185,75,Orthodox,"Jan 13, 1995",6,3,0,52,31,20,50,75,Liam Anderson
17615148dd4be6f6,0.93,4.93,0.0,0.0,145,68,Southpaw,"Apr 26, 1990",14,4,1,19,50,0,0,64,Tatsuya Ando
1562b12763cc8d67,0.2,2.6,0.0,0.8,200,,Orthodox,"May 14, 1974",10,5,0,36,53,0,25,71,Alex Andrade
6a1901c62ab3870f,6.37,5.58,2.1,0.3,115,62,Orthodox,"Sep 25, 1991",26,15,0,48,54,54,75,61,Jessica Andrade
d221ee27afc7a60e,3.26,2.77,1.93,0.3,170,75,Orthodox,"Mar 08, 1984",19,6,0,42,63,50,66,71,Viscardi Andrade
9bad58fa651d6196,0.0,0.0,0.0,0.0,200,,Orthodox,"Jul 16, 1973",14,4,0,0,0,0,0,67,Jermaine Andre
7977fb0fd9c5955d,0.0,0.0,0.0,0.0,,,,"Oct 24, 1994",0,0,0,0,0,0,0,,
00debc804e2b1cd4,2.21,2.72,2.83,0.4,185,74,Switch,"Nov 15, 1979",18,7,,50,46,50,57,73,Dylan Andrews
46e2ca71fd5089cb,2.87,3.5,0.67,0.0,205,,Orthodox,"Mar 31, 1973",7,3,0,50,58,20,40,72,Reese Andy
d6a3e131ad4ba064,3.56,3.77,0.0,0.0,145,68,Orthodox,"Jan 13, 1989",13,3,0,38,53,0,33,67,Angga
e20ad078a7d63361,4.62,1.86,4.47,1.1,205,,Orthodox,"Jul 23, 1991",5,1,0,78,50,50,60,75,Julius Anglickas
047a91d3d9c79b05,4.59,5.54,2.28,0.0,145,71,Orthodox,"Feb 20, 1993",8,3,0,48,51,66,100,69,Collin Anglin
c7c39e2fb70248b3,3.11,2.76,0.68,0.5,135,64,Orthodox,"Dec 01, 1986",13,8,0,46,53,30,38,66,Chad Anheliger
e06fd1260ac865a7,0.0,3.13,0.0,0.0,205,,Orthodox,"Mar 28, 1967",0,5,1,0,25,0,0,71,Yoji Anjo
d802174b0c0c1f4e,3.65,2.59,0.79,0.0,205,75,Orthodox,"Jun 02, 1992",21,2,,52,56,22,87,75,Magomed Ankalaev
af997f7611673880,2.08,4.21,5.08,1.4,205,70,Orthodox,"Feb 09, 1987",20,8,0,55,40,36,0,71,Gadzhimurad Antigulov
25b31165758402dd,5.73,5.0,0.0,0.0,125,63,Orthodox,"Feb 28, 1982",12,3,0,52,69,0,100,65,Adam Antolin
dbd198f780286aca,1.09,7.64,0.0,0.0,205,,Orthodox,"Oct 04, 1998",1,4,0,50,50,0,0,,Angelo Antonio
cc49ada1ea955b13,5.49,14.27,0.0,0.0,170,72,Orthodox,"Dec 28, 1994",16,7,0,48,43,0,0,72,Vanilto Antunes
78d48d3874dacafd,2.47,2.47,0.65,0.0,251,,Orthodox,"Aug 05, 1981",14,5,0,42,69,100,0,73,Azunna Anyanwu
4665f9f909cd7214,3.23,3.75,1.83,0.0,170,70,Orthodox,"Dec 01, 1985",10,3,0,58,45,16,75,67,Shinsho Anzai
031da10a00c8ccd4,1.73,4.23,3.17,0.6,145,67,Orthodox,"Jan 21, 1997",16,7,1,35,51,35,71,67,Jin Aoi
79ded75550efc139,0.97,1.25,2.54,4.0,154,,Southpaw,"May 09, 1983",39,7,,58,58,41,60,71,Shinya Aoki
7d420039bbfe7c1a,4.4,5.66,1.11,0.2,135,69,Orthodox,"Jun 25, 1993",26,13,,49,46,46,59,67,Aoriqileng
0c1a04afca64e38f,1.35,11.5,0.0,0.0,255,,Southpaw,"Jun 19, 1983",15,7,0,40,32,0,33,70,Josh Appelt
1ccff7f0cfdf85eb,0.0,0.54,0.0,8.1,170,,Orthodox,"Aug 26, 1977",10,3,0,0,81,0,0,72,Erik Apple
269d103c96a4c3a5,8.79,10.29,0.0,0.0,145,,Southpaw,"Oct 05, 1979",15,15,5,27,39,0,0,70,Kenji Arai
73ef22f25d0f70e2,1.8,2.83,2.5,0.0,170,,Orthodox,"Dec 02, 1977",7,1,0,35,50,62,83,70,Romie Aram
71002dbc1743b9a7,2.37,2.66,0.93,0.7,135,73,Orthodox,"Feb 09, 1988",18,10,,45,64,47,41,68,Felipe Arantes
dbea8c1cb327ab3d,1.52,2.86,0.86,0.6,170,77,Orthodox,"Dec 06, 1980",25,9,,42,49,15,22,73,Igor Araujo
36541f1e6c5d4955,3.84,4.83,1.72,0.6,125,68,Orthodox,"Nov 21, 1986",13,7,0,47,55,43,75,64,Viviane Araujo
1291edf2d566a71a,4.36,3.05,0.46,0.3,145,70,Southpaw,"Oct 27, 1989",19,6,0,36,68,28,96,67,Julio Arce
d25e39e74efb0a77,1.53,2.73,0.0,1.0,145,,,"Oct 15, 1981",15,7,0,46,51,0,50,68,
87f8699fdcc2c404,7.0,4.97,1.08,0.2,115,62,Orthodox,"Apr 19, 1992",12,7,0,46,61,50,85,63,Alice Ardelean
9c9455912d917e4e,0.0,0.0,0.0,0.0,155,,,"Mar 06, 1985",7,4,0,0,0,0,0,,Tristan Arenal
db3c4a884d704efe,0.0,0.0,0.0,0.0,170,,,"Jan 29, 1993",0,0,0,0,0,0,0,,
e4ba58725825412d,2.48,3.44,4.36,1.4,135,68,Southpaw,"Aug 13, 1993",9,3,,43,50,35,55,67,Dan Argueta
90063913321e7670,0.0,0.0,0.0,0.0,155,,,,5,0,0,0,0,0,0,,
e0e1801e8721af17,5.07,5.4,1.0,0.0,125,63,Orthodox,"Dec 07, 1998",10,2,2,43,47,50,60,63,Ryoga Arimoto
9a7ffa80766caa51,1.84,8.97,0.0,0.0,185,75,Orthodox,"Sep 11, 1989",6,1,0,44,43,0,50,74,Hashem Arkhagha
3738e68d2261e60f,3.82,3.22,0.37,0.2,240,77,Orthodox,"Feb 04, 1979",34,24,,45,57,35,76,75,Andrei Arlovski
1effd880e1f1bb30,5.35,3.64,1.1,0.6,135,70,Orthodox,"Oct 09, 1996",10,5,0,53,56,50,64,66,Garrett Armfield
30ad2050273d016a,0.0,0.0,0.0,0.0,,,,,5,2,0,0,0,0,0,,Joey Armstrong
bf0e700106d00e55,4.52,6.38,0.44,0.2,145,72,Orthodox,"Oct 22, 1991",16,6,0,41,62,18,57,72,Austin Arnett
05fbfe628658c538,1.66,1.15,2.41,1.2,205,,Orthodox,"Jul 17, 1978",14,5,0,48,57,48,58,71,Ricardo Arona
a90c200c3fbb22c4,8.92,6.49,12.16,0.0,185,72,Orthodox,"Jun 06, 1996",6,1,0,68,38,100,0,70,Eli Aronov
770b9d4813c25902,1.56,1.63,3.05,1.0,205,,Orthodox,"May 28, 1975",7,3,0,34,56,75,37,71,Chalid Arrab
c136b2a8852da5bd,2.32,4.01,1.07,0.4,155,71,Southpaw,"Jan 14, 1983",23,11,1,45,56,100,33,70,Akbarh Arreola
de62052b2ede65ba,1.62,2.01,2.12,5.3,170,72,Orthodox,"Sep 01, 1982",3,3,0,47,58,36,100,70,Matt Arroyo
61fb8098ccf81c7f,2.82,2.02,1.14,0.2,185,73,Orthodox,"Jul 01, 1989",9,5,0,66,50,41,41,75,Antonio Arroyo
